"year","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","source"
1977,0.131623113,0.225381207,0.305609116,0.399994752,0.4697955,0.507204782,0.378561654,0.780043089,0.975552712,1.071536983,"fishery"
1978,0.072339126,0.225317679,0.299524403,0.348019144,0.38779451,0.396820568,0.370520567,0.423243425,0.975552712,1.071536983,"fishery"
1979,0.496326531,0.319155972,0.457021078,0.475804399,0.474895463,0.467701773,0.546479567,0.780043089,0.975552712,1.071536983,"fishery"
1980,0.365025586,0.317231219,0.44985521,0.519834734,0.58489731,0.629697439,0.546479567,0.780043089,0.975552712,1.071536983,"fishery"
1981,0.365025586,0.317231219,0.44985521,0.519834734,0.58489731,0.629697439,0.546479567,0.780043089,0.975552712,1.071536983,"fishery"
1982,0.365025586,0.273446328,0.442689342,0.563865069,0.694899156,0.794733395,0.546479567,0.780043089,0.975552712,1.071536983,"fishery"
1983,0.365025586,0.359091359,0.49875247,0.601136936,0.68554038,0.810195255,0.546479567,0.780043089,0.975552712,1.071536983,"fishery"
1984,0.2969163,0.41007078,0.617216022,0.706582619,0.777417916,0.801528858,0.89035648,0.909933449,0.975552712,1.071536983,"fishery"
1985,0.301833929,0.45219432,0.551901191,0.682441443,0.736515416,0.775105144,0.807233236,1.006952392,1.011235622,1.071536983,"fishery"
1986,0.14616561,0.33423729,0.528274418,0.545778195,0.78567782,0.752748037,0.829432753,0.857913602,0.953562744,1.052448871,"fishery"
1987,0.265344514,0.435179115,0.729131159,0.907993806,0.858657117,0.963920853,1.023286338,1.053797847,1.087653616,1.098160336,"fishery"
1988,0.19600648,0.350536277,0.469715363,0.564028424,0.624204497,0.694144237,0.78330914,0.817708506,0.849758868,1.064001741,"fishery"
1989,0.295457603,0.440218625,0.57747826,0.738552371,0.837921757,0.664199376,0.817180399,0.906067231,1.01,1.065261678,"fishery"
1990,0.361841124,0.510842285,0.728270845,0.877410935,0.88504942,0.98459424,1.38599675,1.039073679,1.444906685,1.441677801,"fishery"
1991,0.229813003,0.207287845,0.54043766,0.729167,0.68510751,0.65536484,0.75511093,1.013993169,0.742849888,1.021130068,"fishery"
1992,0.229813003,0.390048828,0.606889365,0.715312101,0.895201164,0.973320271,0.838723378,0.864553828,0.916284281,1.009917906,"fishery"
1993,0.229813003,0.572061025,0.625669812,0.681733286,0.773178226,0.826010349,0.782222823,1.040517158,0.811921932,1.009917906,"fishery"
1994,0.15,0.36291662,0.56827969,0.64878925,0.697438745,0.77687935,0.749226885,0.74371691,0.736403595,0.922354909,"fishery"
1995,0.092336598,0.228480865,0.519579265,0.667457255,0.68736737,0.690662535,0.70679917,0.721115805,0.640636545,0.908958052,"fishery"
1996,0.188128878,0.29360804,0.474428525,0.633365425,0.72813669,0.743444485,0.770080595,0.799184835,0.845978105,0.972507812,"fishery"
1997,0.229813003,0.39698642,0.664102403,0.68623564,0.862056185,0.903559519,0.971291428,0.88383615,0.951095034,1.107670675,"fishery"
