"year","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","source"
1977,0.013162311,0.022538121,0.030560912,0.039999475,0.04697955,0.050720478,0.037856165,0.078004309,0.097555271,0.107153698,"fishery"
1978,0.007233913,0.022531768,0.02995244,0.034801914,0.038779451,0.039682057,0.037052057,0.042324343,0.097555271,0.107153698,"fishery"
1979,0.049632653,0.031915597,0.045702108,0.04758044,0.047489546,0.046770177,0.054647957,0.078004309,0.097555271,0.107153698,"fishery"
1980,0.036502559,0.031723122,0.044985521,0.051983473,0.058489731,0.062969744,0.054647957,0.078004309,0.097555271,0.107153698,"fishery"
1981,0.036502559,0.031723122,0.044985521,0.051983473,0.058489731,0.062969744,0.054647957,0.078004309,0.097555271,0.107153698,"fishery"
1982,0.036502559,0.027344633,0.044268934,0.056386507,0.069489916,0.079473339,0.054647957,0.078004309,0.097555271,0.107153698,"fishery"
1983,0.036502559,0.035909136,0.049875247,0.060113694,0.068554038,0.081019526,0.054647957,0.078004309,0.097555271,0.107153698,"fishery"
1984,0.02969163,0.041007078,0.061721602,0.070658262,0.077741792,0.080152886,0.089035648,0.090993345,0.097555271,0.107153698,"fishery"
1985,0.030183393,0.045219432,0.055190119,0.068244144,0.073651542,0.077510514,0.080723324,0.100695239,0.101123562,0.107153698,"fishery"
1986,0.014616561,0.033423729,0.052827442,0.054577819,0.078567782,0.075274804,0.082943275,0.08579136,0.095356274,0.105244887,"fishery"
1987,0.026534451,0.043517912,0.072913116,0.090799381,0.085865712,0.096392085,0.102328634,0.105379785,0.108765362,0.109816034,"fishery"
1988,0.019600648,0.035053628,0.046971536,0.056402842,0.06242045,0.069414424,0.078330914,0.081770851,0.084975887,0.106400174,"fishery"
1989,0.02954576,0.044021863,0.057747826,0.073855237,0.083792176,0.066419938,0.08171804,0.090606723,0.101,0.106526168,"fishery"
1990,0.036184112,0.051084229,0.072827085,0.087741094,0.088504942,0.098459424,0.138599675,0.103907368,0.144490669,0.14416778,"fishery"
1991,0.0229813,0.020728785,0.054043766,0.0729167,0.068510751,0.065536484,0.075511093,0.101399317,0.074284989,0.102113007,"fishery"
1992,0.0229813,0.039004883,0.060688937,0.07153121,0.089520116,0.097332027,0.083872338,0.086455383,0.091628428,0.100991791,"fishery"
1993,0.0229813,0.057206103,0.062566981,0.068173329,0.077317823,0.082601035,0.078222282,0.104051716,0.081192193,0.100991791,"fishery"
1994,0.015,0.036291662,0.056827969,0.064878925,0.069743875,0.077687935,0.074922689,0.074371691,0.07364036,0.092235491,"fishery"
1995,0.00923366,0.022848087,0.051957927,0.066745726,0.068736737,0.069066254,0.070679917,0.072111581,0.064063655,0.090895805,"fishery"
1996,0.018812888,0.029360804,0.047442853,0.063336543,0.072813669,0.074344449,0.07700806,0.079918484,0.084597811,0.097250781,"fishery"
1997,0.0229813,0.039698642,0.06641024,0.068623564,0.086205619,0.090355952,0.097129143,0.088383615,0.095109503,0.110767068,"fishery"
1998,0.0229813,0.029616376,0.049448252,0.058031944,0.06437361,0.068207321,0.077468394,0.070743918,0.079750975,0.085843949,"fishery"
1999,0.02395717,0.040602813,0.056806612,0.070727883,0.075461039,0.083884158,0.097944328,0.11699481,0.114138352,0.096050049,"fishery"
2000,0.021542113,0.049662445,0.059439476,0.068917979,0.073355454,0.077796084,0.085396953,0.081294693,0.090445707,0.098778137,"fishery"
2001,0.022361518,0.041839487,0.056267652,0.071912605,0.076453233,0.084080399,0.082575219,0.094645702,0.091197334,0.110925151,"fishery"
