"year","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","source"
1991,0.027894235,0.027577708,0.020798697,0.020508031,0.016982342,0.043040196,0.022072523,0.071308899,0.039496767,0.080882466,0.046761671,0.102072624,0.063308028,"fishery"
1992,0.019255219,0.026118227,0.040569203,0.048593838,0.032902328,0.025417369,0.03788924,0.038536066,0.071790123,0.070834354,0.197913634,0.0816161,0.107331683,"fishery"
1993,0.010914523,0.00583366,0.020508086,0.050399016,0.053773669,0.059019043,0.03837311,0.054357331,0.067082724,0.095672326,0.122659815,0.189267344,0.158549188,"fishery"
1994,0.042548808,0.013747396,0.006392617,0.021540741,0.059361272,0.115285806,0.081745978,0.068042369,0.067726621,0.073286961,0.083165981,0.197277898,0.101727814,"fishery"
1995,0.028791115,0.021229295,0.023149169,0.012187686,0.031181773,0.047269807,0.080921874,0.126036426,0.085193151,0.233124671,0.095664947,0.5112887,0.170729994,"fishery"
1996,0.045006677,0.051749877,0.030397653,0.020190975,0.013284739,0.021873728,0.047900188,0.077306024,0.212161907,0.156350941,0.169254091,0.166943839,0.353367646,"fishery"
1997,0.047855031,0.022929767,0.012142799,0.021145055,0.024266915,0.035353106,0.051949841,0.15887476,0.284093408,0.30540776,0.463519643,0.305436991,0.216282412,"fishery"
1998,0.02456542,0.031614495,0.032191703,0.007610911,0.020481379,0.030066305,0.024222672,0.073423062,0.131219306,0.176658281,0.370603903,0.504185101,0.235497276,"fishery"
1999,0.006367086,0.008178901,0.015353377,0.013187502,0.007175181,0.029535586,0.03558288,0.049800498,0.197699032,0.227930714,0.426908179,0.570752532,0.285806802,"fishery"
2000,0.016734652,0.006973088,0.007360332,0.017502307,0.012495163,0.010148365,0.028988133,0.064667311,0.057146556,0.113405098,0.529634919,0.804020295,0.709690083,"fishery"
2001,0.015726615,0.01817323,0.00969418,0.014794323,0.027692895,0.02220382,0.023815311,0.055481703,0.059686151,0.097096589,0.122051092,0.182893666,0.437182429,"fishery"
2002,0.019025773,0.009254647,0.015023002,0.009625272,0.017019135,0.028459575,0.035285499,0.035992939,0.066898877,0.071502694,0.11030561,0.389104897,0.461560801,"fishery"
2003,0.007539008,0.011314262,0.010073146,0.012191281,0.011704222,0.018791341,0.042930572,0.06315414,0.053151542,0.059267188,0.140411131,0.266155182,0.287982256,"fishery"
2004,0.016602844,0.007348723,0.011434278,0.018267111,0.023509269,0.022153916,0.033555547,0.080466805,0.069322962,0.056877072,0.143898834,0.265677562,0.14714375,"fishery"
2005,0.018487185,0.008664453,0.005916301,0.010769387,0.020650637,0.033233479,0.028635711,0.057834394,0.087798878,0.078451142,0.2830124,0.346879154,0.378545093,"fishery"
2006,0.01780397,0.009474243,0.009723633,0.015923692,0.014577123,0.025513285,0.041422509,0.041268583,0.114478525,0.16386283,0.154314413,0.218511414,0.15160207,"fishery"
2007,0.010604815,0.010673153,0.007339864,0.007809322,0.014707501,0.033103285,0.043942143,0.059912404,0.07042664,0.122932774,0.183410501,0.182424264,0.099075392,"fishery"
