"","AIC","nlminb_conv","max_grad_name","max_grad","pd_Hess","model","parameters","mle_val","sd","sd_val","lwr_95","upr_95","dAIC","wAIC"
"1",-346.575451783017,0,"ln_k",5.6143031460559e-06,TRUE,"None","rho_a",NA,"rho_a_sd",NA,NA,NA,-437.669247166275,5.89553994680794e-96
"2",-346.575451783017,0,"ln_k",5.6143031460559e-06,TRUE,"None","rho_c",NA,"rho_y_sd",NA,NA,NA,-437.669247166275,5.89553994680794e-96
"3",-346.575451783017,0,"ln_k",5.6143031460559e-06,TRUE,"None","rho_y",NA,"rho_c_sd",NA,NA,NA,-437.669247166275,5.89553994680794e-96
"4",-346.575451783017,0,"ln_k",5.6143031460559e-06,TRUE,"None","log_sigma2",0.0161560822488783,"log_sigma2_sd",0.0860172782743561,0.0136494977105077,0.0191229742785028,-437.669247166275,5.89553994680794e-96
"5",-534.361699814034,0,"ln_alpha",1.84758132378643e-12,TRUE,"a","rho_a",0.704162718445293,"rho_a_sd",0.0386058467917141,0.628495258733534,0.779830178157053,-249.882999135258,3.53011810035867e-55
"6",-534.361699814034,0,"ln_alpha",1.84758132378643e-12,TRUE,"a","rho_c",NA,"rho_y_sd",NA,NA,NA,-249.882999135258,3.53011810035867e-55
"7",-534.361699814034,0,"ln_alpha",1.84758132378643e-12,TRUE,"a","rho_y",NA,"rho_c_sd",NA,NA,NA,-249.882999135258,3.53011810035867e-55
"8",-534.361699814034,0,"ln_alpha",1.84758132378643e-12,TRUE,"a","log_sigma2",0.0191200157294115,"log_sigma2_sd",0.132303108591464,0.0147526339164623,0.0247803208269813,-249.882999135258,3.53011810035867e-55
"9",-573.911801367105,0,"ln_alpha",9.00797063275885e-13,TRUE,"c","rho_a",NA,"rho_a_sd",NA,NA,NA,-210.332897582187,1.36768053675737e-46
"10",-573.911801367105,0,"ln_alpha",9.00797063275885e-13,TRUE,"c","rho_c",0.789991054403146,"rho_y_sd",NA,NA,NA,-210.332897582187,1.36768053675737e-46
"11",-573.911801367105,0,"ln_alpha",9.00797063275885e-13,TRUE,"c","rho_y",NA,"rho_c_sd",0.0327886938085355,NA,NA,-210.332897582187,1.36768053675737e-46
"12",-573.911801367105,0,"ln_alpha",9.00797063275885e-13,TRUE,"c","log_sigma2",0.0186819410565826,"log_sigma2_sd",0.143683857793382,0.0140966471324072,0.0247587187480395,-210.332897582187,1.36768053675737e-46
"13",-599.141726897975,0,"rho_a",7.21545416062451e-09,TRUE,"a_c","rho_a",0.329814565835078,"rho_a_sd",0.0628184917882528,0.206690321930103,0.452938809740054,-185.102972051317,4.11711866947593e-41
"14",-599.141726897975,0,"rho_a",7.21545416062451e-09,TRUE,"a_c","rho_c",0.540374348423346,"rho_y_sd",NA,NA,NA,-185.102972051317,4.11711866947593e-41
"15",-599.141726897975,0,"rho_a",7.21545416062451e-09,TRUE,"a_c","rho_y",NA,"rho_c_sd",0.0625777503214081,NA,NA,-185.102972051317,4.11711866947593e-41
"16",-599.141726897975,0,"rho_a",7.21545416062451e-09,TRUE,"a_c","log_sigma2",0.0141203542030014,"log_sigma2_sd",0.122582260809707,0.0111045627871606,0.0179551781227042,-185.102972051317,4.11711866947593e-41
"17",-693.031993320585,0,"rho_y",4.96838065706823e-09,TRUE,"y","rho_a",NA,"rho_a_sd",NA,NA,NA,-91.2127056287068,1.00601786006298e-20
"18",-693.031993320585,0,"rho_y",4.96838065706823e-09,TRUE,"y","rho_c",NA,"rho_y_sd",0.0242207379977524,NA,NA,-91.2127056287068,1.00601786006298e-20
"19",-693.031993320585,0,"rho_y",4.96838065706823e-09,TRUE,"y","rho_y",0.876770966349263,"rho_c_sd",NA,NA,NA,-91.2127056287068,1.00601786006298e-20
"20",-693.031993320585,0,"rho_y",4.96838065706823e-09,TRUE,"y","log_sigma2",0.0232419898495058,"log_sigma2_sd",0.185725980539529,0.0161502838959772,0.0334477149531151,-91.2127056287068,1.00601786006298e-20
"21",-783.052564360705,0,"ln_L0",3.78012485816725e-05,TRUE,"y_a","rho_a",0.297724616109238,"rho_a_sd",0.0310522958765212,0.236862116191256,0.358587116027219,-1.19213458858712,0.355078454703232
"22",-783.052564360705,0,"ln_L0",3.78012485816725e-05,TRUE,"y_a","rho_c",NA,"rho_y_sd",0.0342155077301035,NA,NA,-1.19213458858712,0.355078454703232
"23",-783.052564360705,0,"ln_L0",3.78012485816725e-05,TRUE,"y_a","rho_y",0.702066167759819,"rho_c_sd",NA,NA,NA,-1.19213458858712,0.355078454703232
"24",-783.052564360705,0,"ln_L0",3.78012485816725e-05,TRUE,"y_a","log_sigma2",0.0180519787801251,"log_sigma2_sd",0.147309229925712,0.0135248565152673,0.0240944469547776,-1.19213458858712,0.355078454703232
"25",-769.780155535299,0,"rho_y",1.36491476160218e-11,TRUE,"y_c","rho_a",NA,"rho_a_sd",NA,NA,NA,-14.4645434139934,0.00046586208272427
"26",-769.780155535299,0,"rho_y",1.36491476160218e-11,TRUE,"y_c","rho_c",0.306757055683963,"rho_y_sd",0.0400697211854353,0.22822040216051,0.385293709207416,-14.4645434139934,0.00046586208272427
"27",-769.780155535299,0,"rho_y",1.36491476160218e-11,TRUE,"y_c","rho_y",0.702180385738548,"rho_c_sd",0.0376437384059492,0.628398658462887,0.775962113014208,-14.4645434139934,0.00046586208272427
"28",-769.780155535299,0,"rho_y",1.36491476160218e-11,TRUE,"y_c","log_sigma2",0.0170171358440523,"log_sigma2_sd",0.144575997581413,0.0128180184433155,0.0225918626670368,-14.4645434139934,0.00046586208272427
"29",-784.244698949292,0,"rho_a",4.97626060034468e-09,TRUE,"y_a_c","rho_a",0.221169910241814,"rho_a_sd",0.053258535563468,0.116783180537417,0.325556639946211,0,0.644455683214044
"30",-784.244698949292,0,"rho_a",4.97626060034468e-09,TRUE,"y_a_c","rho_c",0.108383445383633,"rho_y_sd",0.0397185328267659,0.0305351210431715,0.186231769724094,0,0.644455683214044
"31",-784.244698949292,0,"rho_a",4.97626060034468e-09,TRUE,"y_a_c","rho_y",0.670966509650613,"rho_c_sd",0.060869940067895,0.551661427117539,0.790271592183688,0,0.644455683214044
"32",-784.244698949292,0,"rho_a",4.97626060034468e-09,TRUE,"y_a_c","log_sigma2",0.0161496857936746,"log_sigma2_sd",0.148352577443333,0.0120749075378746,0.0215995319563599,0,0.644455683214044
